state,county,candidate,party,total_votes,won
Florida,Flagler County,Howie Hawkins,GRN,69,FALSE
Florida,Flagler County,Rocky De La Fuente,ALI,30,FALSE
Florida,Flagler County,Gloria La Riva,PSL,29,FALSE
Florida,Flagler County,Don Blankenship,CST,20,FALSE
Florida,Flagler County, Write-ins,WRI,5,FALSE
Florida,Franklin County,Donald Trump,REP,4675,TRUE
Florida,Franklin County,Joe Biden,DEM,2120,FALSE
Florida,Franklin County,Jo Jorgensen,LIB,27,FALSE
Florida,Franklin County,Howie Hawkins,GRN,12,FALSE
Florida,Franklin County,Gloria La Riva,PSL,8,FALSE
Florida,Franklin County,Rocky De La Fuente,ALI,4,FALSE
Florida,Franklin County,Don Blankenship,CST,3,FALSE
Florida,Gadsden County,Joe Biden,DEM,16153,TRUE
Florida,Gadsden County,Donald Trump,REP,7465,FALSE
Florida,Gadsden County,Jo Jorgensen,LIB,96,FALSE
Florida,Gadsden County,Howie Hawkins,GRN,21,FALSE
Florida,Gadsden County,Gloria La Riva,PSL,10,FALSE
Florida,Gadsden County,Don Blankenship,CST,9,FALSE
Florida,Gadsden County,Rocky De La Fuente,ALI,8,FALSE
Florida,Gilchrist County,Donald Trump,REP,7895,TRUE
Florida,Gilchrist County,Joe Biden,DEM,1700,FALSE
Florida,Gilchrist County,Jo Jorgensen,LIB,61,FALSE
Florida,Gilchrist County,Howie Hawkins,GRN,13,FALSE
Florida,Gilchrist County,Rocky De La Fuente,ALI,6,FALSE
Florida,Gilchrist County,Don Blankenship,CST,5,FALSE
Florida,Gilchrist County, Write-ins,WRI,3,FALSE
Florida,Gilchrist County,Gloria La Riva,PSL,2,FALSE
Florida,Glades County,Donald Trump,REP,3782,TRUE
Florida,Glades County,Joe Biden,DEM,1385,FALSE
Florida,Glades County,Jo Jorgensen,LIB,21,FALSE
Florida,Glades County,Howie Hawkins,GRN,4,FALSE
Florida,Glades County,Gloria La Riva,PSL,1,FALSE
Florida,Glades County,Don Blankenship,CST,0,FALSE
Florida,Glades County,Rocky De La Fuente,ALI,0,FALSE
Florida,Gulf County,Donald Trump,REP,6113,TRUE
Florida,Gulf County,Joe Biden,DEM,1985,FALSE
Florida,Gulf County,Jo Jorgensen,LIB,48,FALSE
Florida,Gulf County,Don Blankenship,CST,6,FALSE
Florida,Gulf County,Rocky De La Fuente,ALI,6,FALSE
Florida,Gulf County,Howie Hawkins,GRN,5,FALSE
Florida,Gulf County,Gloria La Riva,PSL,0,FALSE
Florida,Gulf County, Write-ins,WRI,0,FALSE
Florida,Hamilton County,Donald Trump,REP,3815,TRUE
Florida,Hamilton County,Joe Biden,DEM,1963,FALSE
Florida,Hamilton County,Jo Jorgensen,LIB,33,FALSE
Florida,Hamilton County,Howie Hawkins,GRN,8,FALSE
Florida,Hamilton County,Rocky De La Fuente,ALI,6,FALSE
Florida,Hamilton County,Don Blankenship,CST,2,FALSE
Florida,Hamilton County,Gloria La Riva,PSL,2,FALSE
Florida,Hamilton County, Write-ins,WRI,1,FALSE
Florida,Hardee County,Donald Trump,REP,6122,TRUE
Florida,Hardee County,Joe Biden,DEM,2298,FALSE
Florida,Hardee County,Jo Jorgensen,LIB,40,FALSE
Florida,Hardee County,Rocky De La Fuente,ALI,10,FALSE
Florida,Hardee County,Howie Hawkins,GRN,8,FALSE
Florida,Hardee County,Gloria La Riva,PSL,6,FALSE
Florida,Hardee County,Don Blankenship,CST,1,FALSE
Florida,Hendry County,Donald Trump,REP,7906,TRUE
Florida,Hendry County,Joe Biden,DEM,4929,FALSE
Florida,Hendry County,Jo Jorgensen,LIB,65,FALSE
Florida,Hendry County,Howie Hawkins,GRN,13,FALSE
Florida,Hendry County,Rocky De La Fuente,ALI,11,FALSE
Florida,Hendry County,Gloria La Riva,PSL,8,FALSE
Florida,Hendry County,Don Blankenship,CST,7,FALSE
Florida,Hendry County, Write-ins,WRI,1,FALSE
Florida,Hernando County,Donald Trump,REP,70412,TRUE
Florida,Hernando County,Joe Biden,DEM,37519,FALSE
Florida,Hernando County,Jo Jorgensen,LIB,686,FALSE
Florida,Hernando County,Howie Hawkins,GRN,151,FALSE
